2026-09-09 17:21:39,515 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm37.active_jobs' (key='sap.sm37.active_jobs') -- leaving UNKNOWN.
2026-09-09 17:21:39,516 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.process_rows' (key='sap.sm66.process_rows') -- leaving UNKNOWN.
2026-09-09 17:21:39,517 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm66.running_processes' (key='sap.sm66.running_processes') -- leaving UNKNOWN.
2026-09-09 17:21:39,518 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq1.queues' (key='sap.smq1.queues') -- leaving UNKNOWN.
2026-09-09 17:21:39,518 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.smq2.queues' (key='sap.smq2.queues') -- leaving UNKNOWN.
2026-09-09 17:21:39,519 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sp01.spool_count' (key='sap.sp01.spool_count') -- leaving UNKNOWN.
2026-09-09 17:24:11,774 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 17:24:11,843 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 17:24:13,309 | INFO     | core.orchestrator | [PRD] RFC perf collector: 9 metrics added.
2026-09-09 17:24:13,310 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=26, errors=0
2026-09-09 17:58:37,887 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 17:58:38,211 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 17:58:42,598 | INFO     | core.orchestrator | [PRD] RFC perf collector: 11 metrics added.
2026-09-09 17:58:42,601 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=28, errors=0
2026-09-09 17:58:42,658 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:58:42,661 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:58:42,664 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:58:42,664 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:58:42,666 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 17:58:42,676 | WARNING  | core.event_engine | New WARNING event EVT-BC3E19A884: PRD/sap.st03.top_report_db_ms=124843 ms
2026-09-09 18:03:12,138 | INFO     | core.orchestrator | No SSH access configured for PRD -- skipping Linux/OS-level metrics (SAP GUI evidence only).
2026-09-09 18:03:12,200 | INFO     | core.orchestrator | [PRD] RFC collector: 17 metrics added.
2026-09-09 18:03:14,086 | INFO     | core.orchestrator | [PRD] RFC perf collector: 11 metrics added.
2026-09-09 18:03:14,087 | INFO     | core.orchestrator | Monitoring cycle complete for PRD/100: overall=CRITICAL, metrics=28, errors=0
2026-09-09 18:05:33,229 | DEBUG    | evaluation.threshold_engine | Metric 'cpu' has no numeric value -- leaving UNKNOWN.
2026-09-09 18:05:33,230 | DEBUG    | evaluation.threshold_engine | Metric 'memory' has no numeric value -- leaving UNKNOWN.
2026-09-09 18:05:33,230 | DEBUG    | evaluation.threshold_engine | Metric 'memory.total_gb' has no numeric value -- leaving UNKNOWN.
2026-09-09 18:05:33,231 | DEBUG    | evaluation.threshold_engine | Metric 'load_1m' has no numeric value -- leaving UNKNOWN.
2026-09-09 18:05:33,232 | DEBUG    | evaluation.threshold_engine | Metric 'sap.db12.last_backup' has no numeric value -- leaving UNKNOWN.
2026-09-09 18:05:33,232 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.al08.backend_sessions' (key='sap.al08.backend_sessions') -- leaving UNKNOWN.
2026-09-09 18:05:33,232 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.al08.user_logons' (key='sap.al08.user_logons') -- leaving UNKNOWN.
2026-09-09 18:05:33,234 | DEBUG    | evaluation.threshold_engine | No threshold configured for metric 'sap.sm37.active_jobs' (key='sap.sm37.active_jobs') -- leaving UNKNOWN.
