2026-09-09 13:53:37,061 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:55:03,662 | WARNING  | dashboard.app | Live refresh pass failed: RuntimeError: cannot schedule new futures after interpreter shutdown
2026-09-09 13:55:03,726 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 13:55:03,828 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 13:55:03,994 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 13:55:04,117 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 13:56:23,764 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:57:07,945 | INFO     | dashboard.app | Scheduler: profile 'prd-quick' is due (PRD, 4 T-code(s), -> ['whatsapp']).
2026-09-09 13:58:34,220 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 1 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 13:59:15,879 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 13:59:15,961 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 13:59:16,114 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 13:59:16,209 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 14:00:34,106 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 4 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:01:27,257 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:03:33,344 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 2 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:05:31,326 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 14:05:31,429 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 14:05:31,461 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 14:05:31,639 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 14:07:37,279 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:10:30,632 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:12:39,852 | WARNING  | dashboard.app | Live refresh pass hit the 45s ceiling with 3 system(s) still reading. Their cached values are held and they are left to finish in the background.
2026-09-09 14:12:46,827 | WARNING  | dashboard.app | Live refresh pass failed: RuntimeError: cannot schedule new futures after interpreter shutdown
2026-09-09 14:15:19,504 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 14:15:19,517 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 14:15:19,681 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 14:15:19,749 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:01:50,127 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:01:50,134 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:01:50,251 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:01:50,317 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:03:47,567 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:03:47,598 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:03:47,672 | INFO     | dashboard.app | Scheduler: no run on startup.
2026-09-09 15:03:47,762 | INFO     | dashboard.app | Scheduler: profile-driven. prd-quick (PRD -> whatsapp); prd-full (PRD -> email)
2026-09-09 15:10:28,034 | INFO     | dashboard.app | Scheduler started -- runs only what the Profiles page schedules.
2026-09-09 15:10:28,040 | INFO     | dashboard.app | Live refresher started -- background RFC reads every 60s (pass ceiling 45s); HTTP requests never call RFC directly.
2026-09-09 15:10:28,109 | INFO     | dashboard.app | Scheduler: no run on startup.
